id,zone,x_km,y_km,population,median_income,elderly_pct,chronic_disease_pct,accidents_per_year,distance_to_main_road_km,demand_index
55,rural,9.71,7.78,2940,778.89,0.323,0.402,18,9.87,25.26
56,downtown,18.14,11.84,12640,958.76,0.131,0.167,51,0.67,54.53
57,suburban,4.23,6.54,6164,1065.39,0.148,0.175,16,1.41,32.57
58,downtown,14.98,1.04,14663,1056.96,0.088,0.176,46,0.26,58.3
59,low_income,3.99,0.41,6761,400.49,0.221,0.263,37,2.6,40.0
60,suburban,3.36,12.14,6117,880.17,0.157,0.195,12,1.13,32.62
61,suburban,11.52,18.16,4813,1459.03,0.076,0.139,30,2.21,29.26
62,suburban,17.01,12.01,3923,1488.69,0.152,0.102,20,2.85,24.88
63,suburban,0.25,8.4,5215,1103.47,0.097,0.184,21,1.76,30.4
64,low_income,14.68,19.31,7350,673.28,0.197,0.247,45,2.69,42.03
65,suburban,6.45,4.91,6771,995.25,0.109,0.163,24,4.34,31.67
66,suburban,0.57,17.02,4136,948.48,0.154,0.101,32,4.51,25.98
67,suburban,11.12,10.33,4168,968.95,0.103,0.133,16,3.38,24.22
68,rural,8.96,0.34,1741,542.64,0.188,0.349,10,6.87,20.61
69,suburban,8.51,14.92,4657,1292.0,0.085,0.088,13,1.96,24.82
70,downtown,14.86,19.02,12831,1034.08,0.169,0.108,65,1.57,55.79
71,suburban,19.61,16.65,4536,1052.62,0.089,0.156,13,1.23,27.03
72,downtown,11.07,13.95,8883,1507.92,0.139,0.167,65,1.04,48.13
73,rural,6.81,19.31,1607,817.03,0.152,0.17,12,7.04,15.49
74,downtown,3.03,16.22,14643,959.63,0.11,0.136,59,1.27,59.01
75,low_income,15.51,7.61,10542,468.94,0.206,0.236,49,0.68,52.1
76,downtown,18.95,4.16,9477,1362.3,0.099,0.097,47,0.2,44.64
77,rural,13.79,9.4,904,472.86,0.199,0.408,6,4.63,21.79
78,suburban,15.76,12.5,5814,1453.57,0.105,0.132,26,5.54,27.78
79,low_income,1.43,3.32,7538,649.58,0.202,0.208,34,2.57,39.62
80,rural,18.85,10.01,2380,348.27,0.131,0.28,9,4.75,21.46
81,downtown,4.58,13.49,14023,1310.99,0.082,0.156,73,1.24,60.3
82,low_income,9.41,13.03,10580,422.6,0.205,0.277,47,0.77,52.73
83,suburban,8.17,6.42,3866,912.58,0.104,0.124,26,3.0,25.56
84,downtown,9.1,6.29,10262,1579.13,0.129,0.131,79,1.38,52.59
85,rural,8.26,3.75,1957,753.87,0.295,0.378,8,6.84,23.1
86,suburban,8.76,13.97,3924,1481.2,0.129,0.086,13,3.75,21.93
87,rural,1.86,19.85,3721,576.87,0.153,0.4,12,8.02,25.21
88,suburban,8.31,9.65,5152,1119.75,0.069,0.079,24,4.73,24.8
89,low_income,17.28,5.52,9950,515.98,0.268,0.252,58,1.35,53.06
90,suburban,16.75,11.6,5809,1405.68,0.108,0.123,18,4.81,26.81
91,rural,9.11,6.44,1403,718.5,0.28,0.22,16,3.31,22.66
92,rural,14.1,16.23,2035,698.21,0.35,0.444,12,3.26,30.09
93,suburban,17.39,17.48,5041,1168.17,0.109,0.158,20,4.27,26.83
94,low_income,1.5,15.63,7325,599.3,0.172,0.166,41,2.52,38.99
95,rural,19.08,12.54,3639,592.77,0.271,0.335,8,7.79,24.64
96,suburban,19.95,14.94,5018,868.91,0.132,0.181,21,4.47,27.68
97,downtown,0.92,15.92,10053,1162.39,0.097,0.133,64,1.63,48.61
98,low_income,3.5,12.19,7912,623.25,0.19,0.267,38,2.41,42.7
99,rural,5.11,0.19,3374,840.73,0.31,0.197,11,5.42,24.09
100,suburban,12.78,8.49,4375,1391.71,0.076,0.108,22,2.19,25.98
101,suburban,11.5,19.85,4533,1484.56,0.136,0.091,24,4.43,24.96
102,downtown,18.21,14.9,13829,1532.05,0.173,0.103,73,0.59,60.54
103,low_income,12.42,13.56,9604,613.67,0.251,0.276,61,2.44,52.07
104,suburban,15.77,0.67,4777,891.99,0.168,0.099,20,2.0,27.89
105,suburban,10.62,18.27,6406,979.88,0.157,0.122,30,4.73,31.25
106,suburban,16.08,9.37,3763,1327.91,0.079,0.151,26,2.99,25.63
107,suburban,1.81,7.89,4425,886.51,0.098,0.162,16,2.91,25.93
108,suburban,2.17,4.68,3587,1418.96,0.123,0.187,15,1.32,26.38
109,rural,18.19,6.04,2106,383.87,0.385,0.241,12,3.68,25.28
110,low_income,7.77,7.42,10746,628.59,0.197,0.267,55,3.16,51.86
111,downtown,16.67,12.31,14573,1095.82,0.163,0.102,60,0.63,59.62
112,suburban,1.99,13.71,5405,1484.49,0.097,0.11,14,1.61,27.83
113,rural,1.83,4.24,2846,882.66,0.134,0.25,19,8.51,19.95
114,low_income,1.37,15.3,7035,436.38,0.257,0.216,35,3.2,39.03
115,downtown,5.55,19.68,14912,1278.15,0.176,0.091,75,0.44,63.33
116,suburban,15.8,4.76,4633,921.97,0.057,0.161,23,4.73,25.27
117,rural,8.97,7.24,2699,571.2,0.182,0.335,15,9.36,20.86
118,suburban,9.16,19.28,3712,1135.29,0.102,0.153,22,5.55,22.59
119,downtown,17.99,6.44,9038,988.33,0.155,0.139,69,0.89,48.94
120,suburban,9.07,12.11,3847,1291.25,0.161,0.148,29,4.6,25.93
121,low_income,8.6,17.76,8069,680.97,0.172,0.296,40,1.44,44.87
122,suburban,7.49,3.05,6730,846.99,0.158,0.064,12,4.69,27.23
123,low_income,11.13,11.73,8807,481.86,0.122,0.221,53,2.75,45.09
124,downtown,19.37,12.01,10461,1304.54,0.106,0.146,52,0.39,49.01
125,suburban,2.3,5.57,4291,1100.38,0.123,0.165,25,4.37,26.3
126,downtown,12.18,13.16,12854,920.27,0.113,0.156,77,0.83,59.2
127,low_income,17.4,11.33,8003,406.75,0.214,0.156,56,1.15,45.13
128,rural,9.07,3.15,1797,494.63,0.384,0.329,18,4.09,27.46
129,downtown,13.48,5.44,12633,1239.96,0.133,0.107,71,0.4,57.06
130,rural,2.22,13.56,2698,616.16,0.206,0.216,19,3.38,24.97
131,low_income,6.03,4.22,6686,452.21,0.159,0.152,56,1.03,41.26
132,rural,10.65,4.6,2587,700.83,0.219,0.269,16,6.05,23.0
133,rural,18.42,17.24,2642,644.04,0.319,0.275,6,3.15,25.8
134,suburban,3.44,18.95,5110,1282.73,0.097,0.116,12,3.18,25.35
135,rural,10.48,7.92,1792,503.71,0.213,0.2,12,3.8,20.83
136,low_income,18.12,6.99,9636,677.58,0.247,0.197,35,1.09,46.59
137,low_income,15.2,13.11,6885,659.14,0.189,0.301,56,1.85,45.07
138,suburban,17.28,12.54,4028,847.8,0.107,0.095,16,1.28,25.1
139,downtown,6.21,9.04,8398,1482.19,0.089,0.166,74,1.31,47.65
140,rural,9.25,11.09,3333,837.53,0.246,0.393,14,5.25,28.67
141,rural,10.03,19.15,2241,786.58,0.354,0.445,6,7.52,25.27
142,downtown,4.95,8.76,11075,1265.92,0.099,0.117,54,0.94,49.44
143,suburban,13.58,1.05,5708,1034.25,0.093,0.134,19,2.26,29.37
144,low_income,6.67,11.65,6707,489.93,0.274,0.29,43,2.29,42.78
145,downtown,6.19,7.53,13541,1469.23,0.16,0.163,70,1.43,59.77
146,downtown,12.92,8.47,10532,1153.82,0.102,0.101,78,1.08,52.17
147,low_income,20.0,3.1,7478,665.25,0.191,0.258,55,2.08,45.0
148,suburban,17.53,12.36,5590,907.98,0.074,0.154,25,5.51,27.18
149,rural,0.87,7.29,3102,881.75,0.291,0.376,16,4.64,29.36
150,low_income,6.19,16.17,8345,684.05,0.166,0.339,64,1.89,50.55
